"","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"X509ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X510ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X535ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X544ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X558ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X560ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X561ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X565ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X566ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X567ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X569ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X571ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X575ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X577ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X578ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X580ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X583ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X584ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X585ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X586ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X588ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X591ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X593ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X595ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X596ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X598ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X599ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X618ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X621ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X626ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X629ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X642ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X654ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X658ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X661ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X663ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X664ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X669ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X676ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X677ND",1,1,1,1,2,2,5,5,6,8,9,13,14,15
"X680ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X684ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X689ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X709ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X715ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X721ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X722ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X723ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X725ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X727ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X732ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X733ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X751ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X753ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X754ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X756ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X757ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X758ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X760ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X761ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X762ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X763ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X764ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X765ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X766ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X767ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X769ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X770ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X772ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X773ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X775ND",1,1,1,1,2,2,5,5,6,8,9,9,9,10
"X776ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X777ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X778ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X780ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X783ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X784ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X785ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X788ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X794ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X795ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X797ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X800ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X801ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X802ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X804ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
